日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-01-01,income,0.4利息,-,-,"★PayPay銀行 普通預金 ****600",,,決算オリソク,JPY,78,0,0,0,78,常に集計に含める
2026-01-01,payment,β.17S.帰省・旅行,帰省(お土産以外),"au PAY まさはる",-,,,ザパーク嘉多町第1,JPY,0,200,0,0,200,常に集計に含める
2026-01-01,payment,γ.10.2C.こども教育,"紗和 習いごと","アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,そろタッチ,JPY,0,3960,0,0,3960,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,ZF自飯磯匪ョー,,-,JPY,0,240,0,0,240,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,不明,,-,JPY,0,3300,0,0,3300,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"au PAY まさはる",-,バイスパチキ,,マクドナルド刈谷ハイウェイオアシス店,JPY,0,410,0,0,410,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"au PAY まさはる",-,バイテリヤキマックバーガー,,マクドナルド刈谷ハイウェイオアシス店,JPY,0,620,0,0,620,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"au PAY まさはる",-,チーチーダブチ,,マクドナルド刈谷ハイウェイオアシス店,JPY,0,600,0,0,600,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"au PAY まさはる",-,チキンフィレオ,,マクドナルド刈谷ハイウェイオアシス店,JPY,0,510,0,0,510,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"au PAY まさはる",-,マックフライポテトL,,マクドナルド刈谷ハイウェイオアシス店,JPY,0,920,0,0,920,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"au PAY まさはる",-,シャカポテハッピーターン,,マクドナルド刈谷ハイウェイオアシス店,JPY,0,50,0,0,50,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,鶏つくね串,,ファミリーマート　足柄ＳＡ下り店,JPY,0,189,0,0,189,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,コカ・コーラ500,,ファミリーマート　足柄ＳＡ下り店,JPY,0,183,0,0,183,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,午後の紅茶ミルクティ,,ファミリーマート　足柄ＳＡ下り店,JPY,0,183,0,0,183,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,午後の紅茶レモンティ,,ファミリーマート　足柄ＳＡ下り店,JPY,0,183,0,0,183,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省_お土産,"★滋賀銀行 草津支店 普通預金 ***658",-,かりんとう饅輯,,-,JPY,0,798,0,0,798,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省_お土産,"★滋賀銀行 草津支店 普通預金 ***658",-,ゼのなる木簾v,,-,JPY,0,1140,0,0,1140,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省_お土産,"★滋賀銀行 草津支店 普通預金 ***658",-,よ,,-,JPY,0,495,0,0,495,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省_お土産,"★滋賀銀行 草津支店 普通預金 ***658",-,瀦ぎまAJ@L/、チワレ,,-,JPY,0,41,0,0,41,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省_お土産,"★滋賀銀行 草津支店 普通預金 ***658",-,不明,,-,JPY,0,4800,0,0,4800,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,領収樺,,-,JPY,0,1485,0,0,1485,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,大学宇,,-,JPY,0,900,0,0,900,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,凧柄ソース焼ソバ,,足柄ハイウエイレストラン下り東館,JPY,0,1300,0,0,1300,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"★滋賀銀行 草津支店 普通預金 ***658",-,,,足柄ハイウエイレストラン下り東館,JPY,0,450,0,0,450,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"au PAY まさはる",-,,,セブンイレブン,JPY,0,345,0,0,345,常に集計に含める
2026-01-02,payment,β.3C.水道/光熱,ガス料金,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,ガスワン,JPY,0,6831,0,0,6831,常に集計に含める
2026-01-02,payment,β.3C.水道/光熱,電気料金,"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"エネワンでんき 12月分 埼玉県 さい",JPY,0,6880,0,0,6880,常に集計に含める
2026-01-02,payment,β.17S.帰省・旅行,帰省(お土産以外),"アメリカン・エキスプレス MARRIOTT BONVOY アメリカン・エキスプレス・プレミ...",-,,,"ETC 利用料",JPY,0,9010,0,0,9010,常に集計に含める
2026-01-03,payment,β.5C.日用雑貨,小型家電(1万未満),Amazon.co.jp,-,"Anker Nano II 65W （PD 充電器 USB-C）【独自技術Anker GaN II採用/PD対応/PSE技術基準適合/折りたたみ式プラグ】MacBook Windows PC iPad iPhone Galaxy Android スマ・・・",,Amazon.co.jp,JPY,0,3190,0,0,3190,常に集計に含める
